Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,Neighborhood,Condition1,Condition2,GrLivArea,TotalBsmtSF,GarageArea,OverallQual,OverallCond,YearBuilt,CentralAir,Fireplaces,PoolArea,YrSold,MoSold,SaleCondition,SalePrice,UnitPrice,NeighborhoodAvgUnitPrice
1,60,RL,65.0,8450,Pave,NA,CollgCr,Norm,Norm,1710,856,548,7,5,2003,1,0,0,2008,2,Normal,208500,121.9298245614035,136.78367951579068
2,20,RL,80.0,9600,Pave,NA,Veenker,Feedr,Norm,1262,1262,460,6,8,1976,1,1,0,2007,5,Normal,181500,143.81933438985737,154.9809137507573
3,60,RL,68.0,11250,Pave,NA,CollgCr,Norm,Norm,1786,920,608,7,5,2001,1,1,0,2008,9,Normal,223500,125.13997760358343,136.78367951579068
4,70,RL,60.0,9550,Pave,NA,Crawfor,Norm,Norm,1717,756,642,7,5,1915,1,1,0,2006,2,Abnorml,140000,81.537565521258,120.25482638137272
5,60,RL,84.0,14260,Pave,NA,NoRidge,Norm,Norm,2198,1145,836,8,5,2000,1,1,0,2008,12,Normal,250000,113.73976342129208,132.27168705070494
6,50,RL,85.0,14115,Pave,NA,Mitchel,Norm,Norm,1362,796,480,5,5,1993,1,0,0,2009,10,Normal,143000,104.99265785609398,126.01744863615829
7,20,RL,75.0,10084,Pave,NA,Somerst,Norm,Norm,1694,1686,636,8,5,2004,1,1,0,2007,8,Normal,307000,181.22786304604486,141.3359664248121
8,60,RL,69.0,10382,Pave,NA,NWAmes,PosN,Norm,2090,1107,484,7,6,1973,1,2,0,2009,11,Normal,200000,95.69377990430623,111.84834925438751
9,50,RM,51.0,6120,Pave,NA,OldTown,Artery,Norm,1774,952,468,7,5,1931,1,2,0,2008,4,Abnorml,129900,73.22435174746336,91.42728199677266
10,190,RL,50.0,7420,Pave,NA,BrkSide,Artery,Artery,1077,991,205,5,6,1939,1,2,0,2008,1,Normal,118000,109.5636025998143,105.96680854866048
11,20,RL,70.0,11200,Pave,NA,Sawyer,Norm,Norm,1040,1040,384,5,5,1965,1,0,0,2008,2,Normal,129500,124.51923076923077,117.85616299660873
12,60,RL,85.0,11924,Pave,NA,NridgHt,Norm,Norm,2324,1175,736,9,5,2005,1,2,0,2006,7,Partial,345000,148.4509466437177,164.57805723210188
13,20,RL,69.0,12968,Pave,NA,Sawyer,Norm,Norm,912,912,352,5,6,1962,1,0,0,2008,9,Normal,144000,157.89473684210526,117.85616299660873
14,20,RL,91.0,10652,Pave,NA,CollgCr,Norm,Norm,1494,1494,840,7,5,2006,1,1,0,2007,8,Partial,279500,187.08165997322624,136.78367951579068
15,20,RL,69.0,10920,Pave,NA,NAmes,Norm,Norm,1253,1253,352,6,5,1960,1,1,0,2008,5,Normal,157000,125.29928172386273,116.08938532777013
16,45,RM,51.0,6120,Pave,NA,BrkSide,Norm,Norm,854,832,576,7,8,1929,1,0,0,2007,7,Normal,132000,154.56674473067915,105.96680854866048
17,20,RL,69.0,11241,Pave,NA,NAmes,Norm,Norm,1004,1004,480,6,7,1970,1,1,0,2010,3,Normal,149000,148.40637450199202,116.08938532777013
18,90,RL,72.0,10791,Pave,NA,Sawyer,Norm,Norm,1296,0,516,4,5,1967,1,0,0,2006,10,Normal,90000,69.44444444444444,117.85616299660873
19,20,RL,66.0,13695,Pave,NA,SawyerW,RRAe,Norm,1114,1114,576,5,5,2004,1,0,0,2008,6,Normal,159000,142.72890484739676,119.70442421965492
20,20,RL,70.0,7560,Pave,NA,NAmes,Norm,Norm,1339,1029,294,5,6,1958,1,0,0,2009,5,Abnorml,139000,103.80881254667662,116.08938532777013
21,60,RL,101.0,14215,Pave,NA,NridgHt,Norm,Norm,2376,1158,853,8,5,2005,1,1,0,2006,11,Partial,325300,136.91077441077442,164.57805723210188
22,45,RM,57.0,7449,Pave,Grvl,IDOTRR,Norm,Norm,1108,637,280,7,7,1930,1,1,0,2007,6,Normal,139400,125.81227436823104,89.1360425104863
23,20,RL,75.0,9742,Pave,NA,CollgCr,Norm,Norm,1795,1777,534,8,5,2002,1,1,0,2008,9,Normal,230000,128.13370473537606,136.78367951579068
24,120,RM,44.0,4224,Pave,NA,MeadowV,Norm,Norm,1060,1040,572,5,7,1976,1,1,0,2007,6,Normal,129900,122.54716981132076,101.92620057171746
